Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Lausanne 25;1000;25;125;Lausanne;5586;VD;100%;2541996;1156756;fr;01.07.2008
Lausanne 26;1000;26;126;Lausanne;5586;VD;100%;2543045;1156192;fr;01.07.2008
Lausanne 27;1000;27;127;Lausanne;5586;VD;100%;2541942;1154815;fr;01.07.2008
Lausanne;1003;00;150;Lausanne;5586;VD;100%;2538094;1152460;fr;01.07.2008
Lausanne;1004;00;151;Lausanne;5586;VD;100%;2537088;1153328;fr;01.07.2008
Lausanne;1005;00;152;Lausanne;5586;VD;100%;2538929;1152487;fr;01.07.2008
Lausanne;1006;00;153;Lausanne;5586;VD;100%;2538230;1151602;fr;01.07.2008
Lausanne;1007;00;154;Lausanne;5586;VD;100%;2536686;1152178;fr;01.07.2008
Prilly;1008;00;156;Prilly;5589;VD;100%;2536010;1154282;fr;01.07.2008
Jouxtens-Mézery;1008;02;5852;Jouxtens-Mézery;5585;VD;100%;2535311;1155710;fr;01.07.2008
Pully;1009;00;157;Pully;5590;VD;100%;2540300;1151541;fr;01.07.2008
Lausanne;1010;00;158;Lausanne;5586;VD;100%;2539688;1154318;fr;01.07.2008
Lausanne;1011;00;159;Lausanne;5586;VD;100%;2539025;1152991;fr;01.07.2008
Lausanne;1012;00;160;Lausanne;5586;VD;100%;2539850;1153101;fr;01.07.2008
Lausanne;1015;00;163;Ecublens (VD);5635;VD;84.03%;2533092;1152410;fr;01.07.2008
Lausanne;1015;00;163;Saint-Sulpice (VD);5648;VD;8.33%;2534463;1152369;fr;01.07.2008
Lausanne;1015;00;163;Chavannes-près-Renens;5627;VD;7.64%;2534446;1152760;fr;01.07.2008
Lausanne;1018;00;164;Lausanne;5586;VD;100%;2537924;1154078;fr;01.07.2008
Renens VD;1020;00;165;Renens (VD);5591;VD;100%;2534857;1154420;fr;01.07.2008
Chavannes-près-Renens;1022;00;168;Chavannes-près-Renens;5627;VD;100%;2533762;1153767;fr;01.07.2008
Crissier;1023;00;169;Crissier;5583;VD;99.15%;2533965;1156159;fr;01.07.2008
Crissier;1023;00;169;Lausanne;5586;VD;0.85%;2534893;1156767;fr;01.07.2008
Ecublens VD;1024;00;170;Ecublens (VD);5635;VD;100%;2532574;1153012;fr;01.07.2008
St-Sulpice VD;1025;00;171;Saint-Sulpice (VD);5648;VD;100%;2532756;1151656;fr;01.07.2008
Denges;1026;02;5854;Denges;5632;VD;100%;2531018;1152539;fr;01.07.2008
Echandens;1026;03;6230;Echandens;5633;VD;100%;2531210;1154207;fr;01.07.2008
Lonay;1027;00;174;Lonay;5638;VD;100%;2529446;1153217;fr;01.07.2008
Préverenges;1028;00;175;Préverenges;5643;VD;100%;2530177;1152033;fr;01.07.2008
Villars-Ste-Croix;1029;00;5616;Villars-Sainte-Croix;5651;VD;100%;2532911;1157712;fr;01.07.2008
Bussigny;1030;00;178;Bussigny;5624;VD;100%;2532240;1155984;fr;01.05.2014
Mex VD;1031;00;5614;Mex (VD);5489;VD;98.53%;2532735;1158780;fr;01.07.2008
Mex VD;1031;00;5614;Vufflens-la-Ville;5503;VD;1.47%;2531925;1157537;fr;01.07.2008
Romanel-sur-Lausanne;1032;00;179;Romanel-sur-Lausanne;5592;VD;80.85%;2535996;1157192;fr;01.07.2008
Romanel-sur-Lausanne;1032;00;179;Lausanne;5586;VD;19.15%;2536570.964;1158065.883;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;00;180;Cheseaux-sur-Lausanne;5582;VD;92.49%;2536118;1159682;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;00;180;Lausanne;5586;VD;6.66%;2536380;1158973;fr;01.07.2008
Cheseaux-sur-Lausanne;1033;00;180;Crissier;5583;VD;0.85%;2534691;1158349;fr;01.07.2008
Boussens;1034;00;205;Boussens;5473;VD;100%;2534549;1161690;fr;01.07.2008
Bournens;1035;00;206;Bournens;5472;VD;100%;2532895;1161784;fr;01.07.2008
Sullens;1036;00;207;Sullens;5501;VD;100%;2533170;1160470;fr;01.07.2008
Etagnières;1037;00;182;Etagnières;5521;VD;100%;2536744;1161356;fr;01.07.2008
Bercher;1038;00;183;Bercher;5512;VD;99.18%;2544129;1171373;fr;01.07.2008
Bercher;1038;00;183;Montanaire;5693;VD;0.66%;2544886;1171866;fr;01.07.2008
Bercher;1038;00;183;Boulens;5661;VD;0.17%;2544848;1171831;fr;01.07.2008
Echallens;1040;00;185;Echallens;5518;VD;100%;2538456;1165848;fr;01.07.2008
Villars-le-Terroir;1040;02;194;Villars-le-Terroir;5537;VD;100%;2538799;1167465;fr;01.07.2008
St-Barthélemy VD;1040;03;191;Saint-Barthélemy (VD);5535;VD;100%;2535935;1165324;fr;01.07.2008
Dommartin;1041;21;196;Montilliez;5540;VD;100%;2543556;1166644;fr;01.07.2008
Montaubion-Chardonney;1041;22;5858;Jorat-Menthue;5804;VD;100%;2544374;1166340;fr;01.07.2008
Naz;1041;26;5847;Montilliez;5540;VD;100%;2543124;1167706;fr;01.07.2008
Poliez-le-Grand;1041;31;199;Montilliez;5540;VD;100%;2540681;1165397;fr;01.07.2008
Poliez-Pittet;1041;32;200;Poliez-Pittet;5533;VD;100%;2542142;1164350;fr;01.07.2008
Bottens;1041;33;201;Bottens;5514;VD;100%;2540412;1163081;fr;01.07.2008
Assens;1042;00;208;Assens;5511;VD;100%;2537564;1162683;fr;01.07.2008
Bioley-Orjulaz;1042;03;213;Assens;5511;VD;100%;2535568;1163579;fr;01.07.2008
Bettens;1042;04;193;Bettens;5471;VD;100%;2533991;1164277;fr;01.07.2008
Sugnens;1043;00;209;Montilliez;5540;VD;100%;2541330;1167451;fr;01.07.2008
Fey;1044;00;210;Fey;5522;VD;100%;2542161;1169575;fr;01.07.2008
Ogens;1045;00;211;Ogens;5680;VD;98.30%;2545356;1173527;fr;01.07.2008
Ogens;1045;00;211;Bioley-Magnoux;5903;VD;1.70%;2545895;1174519;fr;01.07.2008
Rueyres;1046;00;624;Rueyres;5534;VD;100%;2543085;1171685;fr;01.07.2008
Oppens;1047;00;5883;Oppens;5923;VD;100%;2543057;1173936;fr;01.07.2008
Le Mont-sur-Lausanne;1052;00;214;Le Mont-sur-Lausanne;5587;VD;100%;2538338;1156156;fr;01.07.2008
Cugy VD;1053;00;215;Cugy (VD);5516;VD;89.51%;2538907;1159570;fr;01.07.2008
Cugy VD;1053;00;215;Lausanne;5586;VD;10.49%;2540222;1160349;fr;01.07.2008
Bretigny-sur-Morrens;1053;02;202;Bretigny-sur-Morrens;5515;VD;100%;2538968;1160875;fr;01.07.2008
Morrens VD;1054;00;216;Morrens (VD);5527;VD;100%;2537829;1160285;fr;01.07.2008
Froideville;1055;00;217;Froideville;5523;VD;100%;2542001;1161377;fr;01.07.2008
Villars-Tiercelin;1058;00;233;Jorat-Menthue;5804;VD;100%;2543851;1164143;fr;01.07.2008
Peney-le-Jorat;1059;00;234;Jorat-Menthue;5804;VD;97.73%;2545647;1164789;fr;01.07.2008
Peney-le-Jorat;1059;00;234;Hermenches;5673;VD;2.27%;2546584;1165576;fr;01.07.2008
Villars-Mendraz;1061;00;235;Jorat-Menthue;5804;VD;100%;2545655;1166366;fr;01.07.2008
Sottens;1062;00;236;Jorat-Menthue;5804;VD;100%;2546670;1167383;fr;01.07.2008
Chapelle-sur-Moudon;1063;00;237;Montanaire;5693;VD;100%;2546251;1168943;fr;01.07.2008
Martherenges;1063;02;5857;Montanaire;5693;VD;100%;2547555;1167980;fr;01.07.2008
Boulens;1063;03;198;Boulens;5661;VD;100%;2545007;1170270;fr;01.07.2008
Peyres-Possens;1063;04;197;Montanaire;5693;VD;96.30%;2544023;1168059;fr;01.07.2008
Peyres-Possens;1063;04;197;Jorat-Menthue;5804;VD;3.70%;2544901;1167948;fr;01.07.2008
Epalinges;1066;00;221;Epalinges;5584;VD;100%;2540895;1155642;fr;01.07.2008
Les Monts-de-Pully;1068;00;7007;Pully;5590;VD;100%;2542590;1154209;fr;01.07.2008
Puidoux;1070;00;786;Puidoux;5607;VD;99.76%;2549208;1149839;fr;01.07.2008
Puidoux;1070;00;786;Bourg-en-Lavaux;5613;VD;0.24%;2547505;1150557;fr;01.07.2008
Chexbres;1071;00;788;Chexbres;5601;VD;99.45%;2549330;1148091;fr;01.07.2008
Chexbres;1071;00;788;Rivaz;5609;VD;0.56%;2549347;1147764;fr;01.07.2008
Rivaz;1071;01;1060;Rivaz;5609;VD;98.84%;2549353;1147399;fr;01.07.2008
Rivaz;1071;01;1060;Puidoux;5607;VD;1.16%;2549208;1147282;fr;01.07.2008
St-Saphorin (Lavaux);1071;02;1061;Saint-Saphorin (Lavaux);5610;VD;100%;2550530;1147409;fr;01.07.2008
Forel (Lavaux);1072;00;789;Forel (Lavaux);5604;VD;100%;2548185;1154073;fr;01.07.2008
Savigny;1073;00;222;Savigny;5611;VD;100%;2545081;1154719;fr;01.07.2008
Mollie-Margot;1073;02;239;Savigny;5611;VD;100%;2546941;1156223;fr;01.07.2008
Ferlens VD;1076;00;248;Jorat-Mézières;5806;VD;100%;2549996;1159858;fr;01.07.2008
Servion;1077;00;249;Servion;5799;VD;100%;2549624;1158206;fr;01.07.2008
Essertes;1078;00;250;Oron;5805;VD;100%;2550009;1156895;fr;01.07.2008
Les Cullayes;1080;00;240;Servion;5799;VD;99.62%;2547538;1158244;fr;01.07.2008
Les Cullayes;1080;00;240;Forel (Lavaux);5604;VD;0.38%;2547952;1157333;fr;01.07.2008
Montpreveyres;1081;00;241;Montpreveyres;5792;VD;100%;2546368;1159080;fr;01.07.2008
Corcelles-le-Jorat;1082;00;242;Corcelles-le-Jorat;5785;VD;100%;2546389;1161926;fr;01.07.2008
Mézières VD;1083;00;223;Jorat-Mézières;5806;VD;100%;2548858;1160593;fr;01.07.2008
Carrouge VD;1084;00;244;Jorat-Mézières;5806;VD;99.82%;2549013;1161560;fr;01.07.2008
Carrouge VD;1084;00;244;Vulliens;5803;VD;0.18%;2550273;1161184;fr;01.07.2008
Vulliens;1085;00;245;Vulliens;5803;VD;99.70%;2550541;1163652;fr;01.07.2008
Vulliens;1085;00;245;Rue;2097;FR;0.30%;2551462;1166063;fr;01.07.2008
Ropraz;1088;00;243;Ropraz;5798;VD;100%;2547514;1162508;fr;01.07.2008
La Croix (Lutry);1090;00;783;Lutry;5606;VD;99.84%;2543276;1152003;fr;01.07.2008
La Croix (Lutry);1090;00;783;Savigny;5611;VD;0.16%;2544555;1152138;fr;01.07.2008
Grandvaux;1091;00;784;Bourg-en-Lavaux;5613;VD;99.37%;2544862;1150091;fr;01.07.2008
Grandvaux;1091;00;784;Forel (Lavaux);5604;VD;0.63%;2546374;1151584;fr;01.07.2008
Aran;1091;01;785;Bourg-en-Lavaux;5613;VD;99.33%;2544289;1150483;fr;01.07.2008
Aran;1091;01;785;Savigny;5611;VD;0.67%;2544859;1152143;fr;01.07.2008
Chenaux;1091;03;6194;Bourg-en-Lavaux;5613;VD;100%;2545513;1149540;fr;01.07.2008
Belmont-sur-Lausanne;1092;00;224;Belmont-sur-Lausanne;5581;VD;99.75%;2541919;1152584;fr;01.07.2008
Belmont-sur-Lausanne;1092;00;224;Lutry;5606;VD;0.25%;2542744;1152871;fr;01.07.2008
La Conversion;1093;00;225;Lutry;5606;VD;100%;2542213;1151717;fr;01.07.2008
Paudex;1094;00;226;Paudex;5588;VD;100%;2541237;1150946;fr;01.07.2008
Lutry;1095;00;227;Lutry;5606;VD;99.78%;2542386;1150776;fr;01.07.2008
Lutry;1095;00;227;Bourg-en-Lavaux;5613;VD;0.17%;2543830;1150278;fr;01.07.2008
Lutry;1095;00;227;Paudex;5588;VD;0.06%;2541434;1151104;fr;01.07.2008
Cully;1096;00;228;Bourg-en-Lavaux;5613;VD;94.53%;2545450;1148915;fr;01.07.2008
Cully;1096;00;228;Puidoux;5607;VD;5.47%;2547463;1148392;fr;01.07.2008
Villette (Lavaux);1096;02;7949;Bourg-en-Lavaux;5613;VD;100%;2543990;1149494;fr;01.07.2008
Riex;1097;00;229;Bourg-en-Lavaux;5613;VD;100%;2546160;1149536;fr;01.07.2008
Epesses;1098;00;230;Bourg-en-Lavaux;5613;VD;95.74%;2546918;1149196;fr;01.07.2008
Epesses;1098;00;230;Puidoux;5607;VD;4.27%;2547642;1148560;fr;01.07.2008
Morges;1110;00;254;Morges;5642;VD;100%;2527636;1151776;fr;01.07.2008
Echichens;1112;00;259;Echichens;5634;VD;100%;2527850;1153395;fr;01.07.2008
St-Saphorin-sur-Morges;1113;00;267;Echichens;5634;VD;100%;2527183;1155510;fr;01.07.2008
Colombier VD;1114;00;268;Echichens;5634;VD;100%;2525950;1156588;fr;01.07.2008
Vullierens;1115;00;269;Vullierens;5654;VD;100%;2526774;1158581;fr;01.07.2008
Cottens VD;1116;00;270;Hautemorges;5656;VD;100%;2524558;1158352;fr;01.07.2008
Grancy;1117;00;271;Grancy;5485;VD;100%;2525345;1160511;fr;01.07.2008
Bremblens;1121;00;273;Bremblens;5622;VD;100%;2529336;1155360;fr;01.07.2008
Romanel-sur-Morges;1122;00;274;Romanel-sur-Morges;5645;VD;100%;2528752;1156455;fr;01.07.2008
Aclens;1123;00;275;Aclens;5621;VD;100%;2528963;1157769;fr;01.07.2008
Gollion;1124;00;276;Gollion;5484;VD;100%;2528715;1159688;fr;01.07.2008
Monnaz;1125;00;263;Echichens;5634;VD;100%;2526464;1153455;fr;01.07.2008
Vaux-sur-Morges;1126;00;264;Vaux-sur-Morges;5650;VD;100%;2525213;1154282;fr;01.07.2008
Clarmont;1127;00;265;Clarmont;5629;VD;100%;2524148;1155545;fr;01.07.2008
Reverolle;1128;00;266;Hautemorges;5656;VD;100%;2523256;1154937;fr;01.07.2008
Tolochenaz;1131;00;262;Tolochenaz;5649;VD;100%;2526191;1150646;fr;01.07.2008
Lully VD;1132;00;261;Lully (VD);5639;VD;100%;2525146;1150937;fr;01.07.2008
Vufflens-le-Château;1134;00;279;Vufflens-le-Château;5653;VD;100%;2525584;1153302;fr;01.07.2008
Chigny;1134;02;5853;Chigny;5628;VD;100%;2526359;1152190;fr;01.07.2008
Denens;1135;00;280;Denens;5631;VD;100%;2524516;1152347;fr;01.07.2008
Bussy-Chardonney;1136;00;281;Hautemorges;5656;VD;100%;2523575;1153651;fr;01.07.2008
Sévery;1141;00;289;Hautemorges;5656;VD;100%;2523387;1158709;fr;01.07.2008
Pampigny;1142;00;288;Hautemorges;5656;VD;100%;2522491;1159272;fr;01.07.2008
Apples;1143;00;290;Hautemorges;5656;VD;100%;2522746;1156291;fr;01.07.2008
Ballens;1144;00;284;Ballens;5423;VD;100%;2518398;1156369;fr;01.07.2008
Bière;1145;00;291;Bière;5425;VD;99.31%;2515335;1154460;fr;01.07.2008
Bière;1145;00;291;Saint-Livres;5435;VD;0.69%;2517389;1153479;fr;01.07.2008
Mollens VD;1146;00;286;Mollens (VD);5431;VD;100%;2517501;1158996;fr;01.07.2008
Montricher;1147;00;287;Montricher;5492;VD;100%;2518648;1161534;fr;01.07.2008
L'Isle;1148;00;293;L'Isle;5486;VD;100%;2521329;1163683;fr;01.07.2008
Mauraz;1148;02;5842;Mauraz;5488;VD;100%;2522122;1162106;fr;01.07.2008
Villars-Bozon;1148;03;7449;L'Isle;5486;VD;100%;2520977;1162214;fr;01.07.2008
Cuarnens;1148;04;556;Cuarnens;5479;VD;100%;2523386;1164216;fr;01.07.2008
Mont-la-Ville;1148;05;569;Mont-la-Ville;5491;VD;100%;2521107;1166576;fr;01.07.2008
La Praz;1148;06;568;La Praz;5758;VD;100%;2522563;1168926;fr;01.07.2008
Chavannes-le-Veyron;1148;07;5841;Chavannes-le-Veyron;5475;VD;98.33%;2524329;1162156;fr;01.07.2008
Chavannes-le-Veyron;1148;07;5841;La Chaux (Cossonay);5474;VD;1.67%;2524922;1162465;fr;01.07.2008
Moiry VD;1148;08;558;Moiry;5490;VD;100%;2524593;1166878;fr;01.07.2008
La Coudre;1148;09;8477;L'Isle;5486;VD;100%;2520690;1165769;fr;01.07.2008
Berolle;1149;00;285;Berolle;5424;VD;99.57%;2515554;1157044;fr;01.07.2008
Berolle;1149;00;285;Bière;5425;VD;0.43%;2515180;1156270;fr;01.07.2008
St-Prex;1162;00;294;Saint-Prex;5646;VD;98.55%;2524239;1148271;fr;01.07.2008
St-Prex;1162;00;294;Lully (VD);5639;VD;1.45%;2525730;1149680;fr;01.07.2008
Etoy;1163;00;295;Etoy;5636;VD;100%;2521588;1148633;fr;01.07.2008
Buchillon;1164;00;296;Buchillon;5623;VD;100%;2521687;1147006;fr;01.07.2008
Allaman;1165;00;297;Allaman;5851;VD;100%;2519802;1147080;fr;01.07.2008
Perroy;1166;00;298;Perroy;5860;VD;98.82%;2517257;1146843;fr;01.07.2008
Perroy;1166;00;298;Féchy;5427;VD;1.18%;2518463;1146805;fr;01.07.2008
Lussy-sur-Morges;1167;00;260;Lussy-sur-Morges;5640;VD;100%;2524110;1150616;fr;01.07.2008
Villars-sous-Yens;1168;00;283;Villars-sous-Yens;5652;VD;100%;2522568;1151525;fr;01.07.2008
Yens;1169;00;282;Yens;5655;VD;100%;2521791;1152617;fr;01.07.2008
Aubonne;1170;00;299;Aubonne;5422;VD;98.38%;2519466;1149668;fr;01.07.2008
Aubonne;1170;00;299;Lavigny;5637;VD;1.62%;2520602;1149082;fr;01.07.2008
Bougy-Villars;1172;00;303;Bougy-Villars;5426;VD;96.59%;2516779;1148213;fr;01.07.2008
Bougy-Villars;1172;00;303;Aubonne;5422;VD;3.41%;2516413;1148794;fr;01.07.2008
Féchy;1173;00;304;Féchy;5427;VD;100%;2518058;1148262;fr;01.07.2008
Montherod;1174;00;305;Aubonne;5422;VD;100%;2517589;1150376;fr;01.07.2008
Pizy;1174;02;5837;Aubonne;5422;VD;100%;2516592;1149508;fr;01.07.2008
Lavigny;1175;00;306;Lavigny;5637;VD;100%;2520603;1150570;fr;01.07.2008
St-Livres;1176;00;307;Saint-Livres;5435;VD;100%;2519285;1151284;fr;01.07.2008
Rolle;1180;00;309;Rolle;5861;VD;89.62%;2515240;1145773;fr;01.07.2008
Rolle;1180;00;309;Essertines-sur-Rolle;5856;VD;7.14%;2514091;1147399;fr;01.07.2008
Rolle;1180;00;309;Gilly;5857;VD;3.24%;2513939;1145094;fr;01.07.2008
Tartegnin;1180;02;5874;Tartegnin;5862;VD;92.31%;2513738;1146767;fr;01.07.2008
Tartegnin;1180;02;5874;Essertines-sur-Rolle;5856;VD;7.69%;2513906;1146744;fr;01.07.2008
Gilly;1182;00;312;Gilly;5857;VD;100%;2512344;1145814;fr;01.07.2008
Bursins;1183;00;313;Bursins;5853;VD;96.69%;2511684;1145202;fr;01.07.2008
Bursins;1183;00;313;Gilly;5857;VD;3.32%;2511950;1145264;fr;01.07.2008
Luins;1184;00;315;Luins;5858;VD;100%;2510304;1144169;fr;01.07.2008
Vinzel;1184;01;314;Vinzel;5863;VD;100%;2511011;1144683;fr;01.07.2008
Mont-sur-Rolle;1185;00;316;Mont-sur-Rolle;5859;VD;99.90%;2515587;1146981;fr;01.07.2008
Mont-sur-Rolle;1185;00;316;Essertines-sur-Rolle;5856;VD;0.11%;2514416;1146475;fr;01.07.2008
Essertines-sur-Rolle;1186;00;317;Essertines-sur-Rolle;5856;VD;98.13%;2513884;1149512;fr;01.07.2008
Essertines-sur-Rolle;1186;00;317;Gilly;5857;VD;1.87%;2512554;1148003;fr;01.07.2008
St-Oyens;1187;00;318;Saint-Oyens;5436;VD;100%;2513081;1150243;fr;01.07.2008
Gimel;1188;00;320;Gimel;5428;VD;100%;2513138;1151758;fr;01.07.2008
St-George;1188;02;495;Saint-George;5434;VD;100%;2509774;1152081;fr;01.07.2008
Saubraz;1189;00;319;Saubraz;5437;VD;100%;2514917;1152051;fr;01.07.2008
Dully;1195;02;5873;Dully;5855;VD;100%;2512400;1142807;fr;01.07.2008
Bursinel;1195;03;6177;Bursinel;5852;VD;99.12%;2513051;1143819;fr;01.07.2008
Bursinel;1195;03;6177;Gilly;5857;VD;0.88%;2513230;1144624;fr;01.07.2008
Gland;1196;00;323;Gland;5721;VD;100%;2510180;1141762;fr;01.07.2008
Prangins;1197;00;324;Prangins;5725;VD;100%;2508443;1139022;fr;01.07.2008
Genève;1201;00;367;Genève;6621;GE;100%;2500082;1118420;fr;01.07.2008
Genève;1202;00;368;Genève;6621;GE;99.16%;2499544;1119166;fr;01.07.2008
Genève;1202;00;368;Pregny-Chambésy;6634;GE;0.85%;2499379;1120954;fr;01.07.2008
Genève;1203;00;369;Genève;6621;GE;100%;2498494;1118267;fr;01.07.2008
Genève;1204;00;370;Genève;6621;GE;100%;2500269;1117566;fr;01.07.2008
Genève;1205;00;371;Genève;6621;GE;100%;2499933;1116847;fr;01.07.2008
Genève;1206;00;372;Genève;6621;GE;100%;2500984;1116372;fr;01.07.2008
Genève;1207;00;373;Genève;6621;GE;100%;2501311;1117661;fr;01.07.2008
Genève;1208;00;374;Genève;6621;GE;100%;2501849;1117099;fr;01.07.2008
Genève;1209;00;376;Genève;6621;GE;98.00%;2498557;1119760;fr;01.07.2008
Genève;1209;00;376;Vernier;6643;GE;1.45%;2497787;1119406;fr;01.07.2008
Genève;1209;00;376;Le Grand-Saconnex;6623;GE;0.54%;2498607;1120264;fr;01.07.2008
Grand-Lancy;1212;00;411;Lancy;6628;GE;91.49%;2498134;1114994;fr;01.07.2008
Grand-Lancy;1212;00;411;Onex;6631;GE;8.21%;2497165;1114750;fr;01.07.2008
Grand-Lancy;1212;00;411;Plan-les-Ouates;6633;GE;0.30%;2496689.673;1114538.385;fr;01.07.2008
Petit-Lancy;1213;00;415;Lancy;6628;GE;97.53%;2497999;1116434;fr;01.07.2008
Petit-Lancy;1213;00;415;Genève;6621;GE;2.47%;2498165;1117223;fr;01.07.2008
Onex;1213;03;418;Onex;6631;GE;99.80%;2496839;1115451;fr;01.07.2008
Onex;1213;03;418;Lancy;6628;GE;0.20%;2497443;1115533;fr;01.07.2008
Vernier;1214;00;420;Vernier;6643;GE;90.30%;2495196;1118865;fr;01.07.2008
Vernier;1214;00;420;Satigny;6638;GE;7.98%;2494136;1118814;fr;01.07.2008
Vernier;1214;00;420;Meyrin;6630;GE;1.72%;2494441.279;1119626.079;fr;01.07.2008
Genève;1215;00;421;Le Grand-Saconnex;6623;GE;50.91%;2497611;1121302;fr;01.07.2008
Genève;1215;00;421;Meyrin;6630;GE;49.09%;2496716;1120319;fr;01.07.2008
Cointrin;1216;00;423;Meyrin;6630;GE;69.88%;2497209;1120081;fr;01.07.2008
Cointrin;1216;00;423;Vernier;6643;GE;30%;2497702;1119907;fr;01.07.2008
Cointrin;1216;00;423;Le Grand-Saconnex;6623;GE;0.12%;2497806;1120045;fr;01.07.2008
Meyrin;1217;00;424;Meyrin;6630;GE;100%;2494968;1120780;fr;01.07.2008
Le Grand-Saconnex;1218;00;428;Le Grand-Saconnex;6623;GE;99.62%;2498175;1120666;fr;01.07.2008
Le Grand-Saconnex;1218;00;428;Genève;6621;GE;0.38%;2499215;1120791;fr;01.07.2008
Le Lignon;1219;00;429;Vernier;6643;GE;100%;2496647;1117908;fr;01.07.2008
Aïre;1219;10;430;Vernier;6643;GE;100%;2496569;1117233;fr;01.07.2008
Châtelaine;1219;12;432;Vernier;6643;GE;100%;2497447;1118863;fr;01.07.2008
Les Avanchets;1220;00;435;Vernier;6643;GE;100%;2497408;1119681;fr;01.07.2008
Vésenaz;1222;00;436;Collonge-Bellerive;6616;GE;100%;2504679;1121900;fr;01.07.2008
Cologny;1223;00;438;Cologny;6617;GE;100%;2503448;1119302;fr;01.07.2008
Chêne-Bougeries;1224;00;439;Chêne-Bougeries;6612;GE;100%;2503290;1117260;fr;01.07.2008
Chêne-Bourg;1225;00;440;Chêne-Bourg;6613;GE;100%;2504225;1116974;fr;01.07.2008
Thônex;1226;00;442;Thônex;6640;GE;100%;2504962;1116796;fr;01.07.2008
Carouge GE;1227;00;443;Carouge (GE);6608;GE;99.91%;2499774;1115409;fr;01.07.2008
Carouge GE;1227;00;443;Genève;6621;GE;0.09%;2499037.709;1116143.747;fr;01.07.2008
Les Acacias;1227;04;444;Genève;6621;GE;93.02%;2499395;1116415;fr;01.07.2008
Les Acacias;1227;04;444;Lancy;6628;GE;5.50%;2498693;1116162;fr;01.07.2008
Les Acacias;1227;04;444;Carouge (GE);6608;GE;1.48%;2499662.488;1116061.314;fr;01.07.2008
Plan-les-Ouates;1228;00;447;Plan-les-Ouates;6633;GE;99.43%;2498071;1113782;fr;01.07.2008
Plan-les-Ouates;1228;00;447;Lancy;6628;GE;0.46%;2499503;1113850;fr;01.07.2008
Plan-les-Ouates;1228;00;447;Confignon;6618;GE;0.12%;2496874;1114129;fr;01.07.2008
Conches;1231;00;448;Chêne-Bougeries;6612;GE;100%;2502513;1115896;fr;01.07.2008
Confignon;1232;00;449;Confignon;6618;GE;99.60%;2495534;1114778;fr;01.07.2008
Confignon;1232;00;449;Bernex;6607;GE;0.40%;2494735;1114020;fr;01.07.2008
Bernex;1233;00;450;Bernex;6607;GE;100%;2494460;1114344;fr;01.07.2008
Vessy;1234;00;452;Veyrier;6645;GE;100%;2501098;1114192;fr;01.07.2008
Cartigny;1236;00;453;Cartigny;6609;GE;95.90%;2490614;1114597;fr;01.07.2008
Cartigny;1236;00;453;Bernex;6607;GE;2.13%;2492449;1114396;fr;01.07.2008
Cartigny;1236;00;453;Avusy;6604;GE;1.31%;2490407;1113303;fr;01.07.2008
Cartigny;1236;00;453;Laconnex;6627;GE;0.66%;2490498;1113385;fr;01.07.2008
Avully;1237;00;454;Avully;6603;GE;99.14%;2488616;1114035;fr;01.07.2008
Avully;1237;00;454;Chancy;6611;GE;0.86%;2487036.625;1113167.201;fr;01.07.2008
Collex;1239;00;455;Collex-Bossy;6615;GE;100%;2498538;1125374;fr;01.07.2008
Puplinge;1241;00;456;Puplinge;6636;GE;100%;2506860;1118300;fr;01.07.2008
Satigny;1242;00;457;Satigny;6638;GE;100%;2491957;1119120;fr;01.07.2008
Presinge;1243;00;458;Presinge;6635;GE;100%;2508694;1118905;fr;01.07.2008
Choulex;1244;00;459;Choulex;6614;GE;100%;2506130;1120032;fr;01.07.2008
Collonge-Bellerive;1245;00;460;Collonge-Bellerive;6616;GE;100%;2504737;1123676;fr;01.07.2008
Corsier GE;1246;00;461;Corsier (GE);6619;GE;100%;2506154;1124284;fr;01.07.2008
Anières;1247;00;462;Anières;6602;GE;100%;2506638;1126004;fr;01.07.2008
Hermance;1248;00;463;Hermance;6625;GE;100%;2507967;1128300;fr;01.07.2008
Gy;1251;00;464;Gy;6624;GE;100%;2508863;1122976;fr;01.07.2008
Meinier;1252;00;465;Meinier;6629;GE;100%;2506953;1122133;fr;01.07.2008
Vandoeuvres;1253;00;466;Vandoeuvres;6642;GE;100%;2504641;1118992;fr;01.07.2008
Jussy;1254;00;467;Jussy;6626;GE;99.62%;2509286;1120998;fr;01.07.2008
Jussy;1254;00;467;Gy;6624;GE;0.39%;2510431.686;1122310.956;fr;01.07.2008
Veyrier;1255;00;468;Veyrier;6645;GE;100%;2502669;1113641;fr;01.07.2008
Troinex;1256;00;469;Troinex;6641;GE;100%;2500180;1113401;fr;01.07.2008
La Croix-de-Rozon;1257;00;470;Bardonnex;6605;GE;98.58%;2498282;1111509;fr;01.07.2008
La Croix-de-Rozon;1257;00;470;Plan-les-Ouates;6633;GE;1.42%;2499529.526;1112583.289;fr;01.07.2008
Perly;1258;00;471;Perly-Certoux;6632;GE;95.17%;2495868;1112548;fr;01.07.2008
Perly;1258;00;471;Bardonnex;6605;GE;4.83%;2496383;1112188;fr;01.07.2008
