Ortschaftsname;PLZ4;Zusatzziffer;ZIP_ID;Gemeindename;BFS-Nr;Kantonskürzel;Adressenanteil;E;N;Sprache;Validity
Rütschelen;4933;00;2894;Rütschelen;340;BE;100%;2625511;1224922;de;01.07.2008
Madiswil;4934;00;2895;Madiswil;332;BE;100%;2627515;1223790;de;01.07.2008
Leimiswil;4935;00;2896;Madiswil;332;BE;100%;2624909;1222417;de;01.07.2008
Kleindietwil;4936;00;2898;Madiswil;332;BE;96.73%;2626724;1221547;de;01.07.2008
Kleindietwil;4936;00;2898;Ursenbach;344;BE;3.28%;2625945.916;1221948.254;de;01.07.2008
Ursenbach;4937;00;2899;Ursenbach;344;BE;100%;2625263;1220591;de;01.07.2008
Rohrbach;4938;00;2900;Rohrbach;338;BE;95.74%;2628666;1220640;de;01.07.2008
Rohrbach;4938;00;2900;Auswil;322;BE;4.26%;2628309;1221282;de;01.07.2008
Rohrbachgraben;4938;02;2904;Rohrbachgraben;339;BE;98.44%;2627585;1218500;de;01.07.2008
Rohrbachgraben;4938;02;2904;Huttwil;954;BE;1.25%;2628253.483;1216736.64;de;01.07.2008
Rohrbachgraben;4938;02;2904;Walterswil (BE);959;BE;0.31%;2626730;1217984;de;01.07.2008
Walterswil BE;4942;00;2901;Walterswil (BE);959;BE;95.98%;2625638;1217735;de;01.07.2008
Walterswil BE;4942;00;2901;Dürrenroth;952;BE;2.68%;2625442;1215625;de;01.07.2008
Walterswil BE;4942;00;2901;Ursenbach;344;BE;1.34%;2625479.609;1219234.918;de;01.07.2008
Oeschenbach;4943;00;2902;Oeschenbach;335;BE;87.71%;2623505;1217750;de;01.07.2008
Oeschenbach;4943;00;2902;Ursenbach;344;BE;8.48%;2623965;1218885;de;01.07.2008
Oeschenbach;4943;00;2902;Seeberg;988;BE;2.54%;2621974;1218106;de;01.07.2008
Oeschenbach;4943;00;2902;Walterswil (BE);959;BE;1.27%;2623528;1216467;de;01.07.2008
Auswil;4944;00;2903;Auswil;322;BE;100%;2629943;1220595;de;01.07.2008
Huttwil;4950;00;2905;Huttwil;954;BE;99.96%;2631092;1218155;de;01.07.2008
Huttwil;4950;00;2905;Eriswil;953;BE;0.04%;2631443.461;1215628.176;de;01.07.2008
Eriswil;4952;00;2906;Eriswil;953;BE;97.61%;2631478;1214195;de;01.07.2008
Eriswil;4952;00;2906;Huttwil;954;BE;1.25%;2633018;1215462;de;01.07.2008
Eriswil;4952;00;2906;Sumiswald;957;BE;0.62%;2632620;1210513;de;01.07.2008
Eriswil;4952;00;2906;Luthern;1135;LU;0.31%;2633282;1211328;de;01.07.2008
Eriswil;4952;00;2906;Ufhusen;1145;LU;0.21%;2633570;1215074;de;01.07.2008
Schwarzenbach (Huttwil);4953;00;2907;Huttwil;954;BE;89.10%;2629668;1217092;de;01.07.2008
Schwarzenbach (Huttwil);4953;00;2907;Wyssachen;960;BE;10.90%;2628720;1215662;de;01.07.2008
Wyssachen;4954;00;2908;Wyssachen;960;BE;99.67%;2629285;1214074;de;01.07.2008
Wyssachen;4954;00;2908;Sumiswald;957;BE;0.33%;2627412;1212152;de;01.07.2008
Gondiswil;4955;00;2886;Gondiswil;326;BE;99.52%;2632829;1221374;de;01.07.2008
Gondiswil;4955;00;2886;Ufhusen;1145;LU;0.48%;2633883;1219738;de;01.07.2008
Aarau;5000;00;2913;Aarau;4001;AG;99.71%;2646021;1248945;de;01.07.2008
Aarau;5000;00;2913;Suhr;4012;AG;0.29%;2646877;1248237;de;01.07.2008
Aarau;5004;00;2932;Aarau;4001;AG;100%;2646959;1250160;de;01.07.2008
Schönenwerd;5012;00;2934;Schönenwerd;2583;SO;100%;2642849;1247113;de;01.07.2008
Wöschnau;5012;03;6058;Eppenberg-Wöschnau;2574;SO;100%;2644422;1248374;de;01.07.2008
Eppenberg;5012;04;5980;Eppenberg-Wöschnau;2574;SO;100%;2644214;1247422;de;01.07.2008
Niedergösgen;5013;00;2936;Niedergösgen;2495;SO;100%;2641715;1247001;de;01.07.2008
Gretzenbach;5014;00;2937;Gretzenbach;2576;SO;100%;2642272;1245379;de;01.07.2008
Erlinsbach SO;5015;00;2938;Erlinsbach (SO);2503;SO;100%;2642776;1249839;de;01.07.2008
Barmelweid;5017;00;2941;Erlinsbach (AG);4005;AG;76%;2640215;1252450;de;01.07.2008
Barmelweid;5017;00;2941;Erlinsbach (SO);2503;SO;24%;2639816;1252115;de;01.07.2008
Erlinsbach;5018;00;7378;Erlinsbach (AG);4005;AG;100%;2643306;1250466;de;01.07.2008
Rombach;5022;00;2942;Küttigen;4008;AG;100%;2645982;1250635;de;01.07.2008
Biberstein;5023;00;2943;Biberstein;4002;AG;100%;2648638;1251761;de;01.07.2008
Küttigen;5024;00;2944;Küttigen;4008;AG;100%;2646083;1251675;de;01.07.2008
Asp;5025;00;2945;Densbüren;4004;AG;100%;2646145;1254879;de;01.07.2008
Densbüren;5026;00;2946;Densbüren;4004;AG;98.63%;2646555;1256175;de;01.07.2008
Densbüren;5026;00;2946;Wölflinswil;4182;AG;1.37%;2644366;1256999;de;01.07.2008
Herznach;5027;00;2947;Herznach-Ueken;4186;AG;100%;2646197;1258221;de;01.07.2008
Ueken;5028;00;2948;Herznach-Ueken;4186;AG;100%;2646046;1259430;de;01.07.2008
Aarau Rohr;5032;00;2949;Aarau;4001;AG;100%;2648473;1250219;de;01.01.2010
Buchs AG;5033;00;2950;Buchs (AG);4003;AG;100%;2648028;1248964;de;01.07.2008
Suhr;5034;00;2952;Suhr;4012;AG;100%;2647994;1247505;de;01.07.2008
Unterentfelden;5035;00;2954;Unterentfelden;4013;AG;100%;2645682;1246684;de;01.07.2008
Oberentfelden;5036;00;2956;Oberentfelden;4010;AG;100%;2645716;1245248;de;01.07.2008
Muhen;5037;00;2959;Muhen;4009;AG;100%;2646658;1242996;de;01.07.2008
Schöftland;5040;00;2960;Schöftland;4144;AG;100%;2646330;1239629;de;01.07.2008
Hirschthal;5042;00;2961;Hirschthal;4007;AG;100%;2646696;1241179;de;01.07.2008
Holziken;5043;00;2962;Holziken;4136;AG;100%;2645358;1241341;de;01.07.2008
Schlossrued;5044;00;2963;Schlossrued;4142;AG;100%;2649173;1238005;de;01.07.2008
Schmiedrued;5046;01;2964;Schmiedrued;4143;AG;92.24%;2650368;1235798;de;01.07.2008
Schmiedrued;5046;01;2964;Gontenschwil;4135;AG;7.77%;2651668;1235234;de;01.07.2008
Walde AG;5046;02;2965;Schmiedrued;4143;AG;98.50%;2650954;1234426;de;01.07.2008
Walde AG;5046;02;2965;Gontenschwil;4135;AG;1.50%;2652429;1233185;de;01.07.2008
Staffelbach;5053;00;2966;Staffelbach;4284;AG;100%;2645782;1237077;de;01.07.2008
Wittwil;5053;02;6126;Staffelbach;4284;AG;100%;2645317;1237966;de;01.07.2008
Kirchleerau;5054;01;2969;Kirchleerau;4275;AG;100%;2647374;1236310;de;01.07.2008
Moosleerau;5054;02;2970;Moosleerau;4277;AG;100%;2647304;1235417;de;01.07.2008
Attelwil;5056;00;2971;Reitnau;4281;AG;100%;2645720;1234521;de;01.07.2008
Reitnau;5057;00;2972;Reitnau;4281;AG;100%;2645674;1233631;de;01.07.2008
Wiliberg;5058;00;5985;Wiliberg;4288;AG;100%;2643691;1235438;de;01.07.2008
Oberhof;5062;00;3024;Oberhof;4173;AG;100%;2642882;1255514;de;01.07.2008
Wölflinswil;5063;00;3023;Wölflinswil;4182;AG;99.10%;2642178;1256873;de;01.07.2008
Wölflinswil;5063;00;3023;Gipf-Oberfrick;4165;AG;0.90%;2642310;1258935;de;01.07.2008
Wittnau;5064;00;3022;Wittnau;4181;AG;100%;2640512;1259032;de;01.07.2008
Frick;5070;00;3018;Frick;4163;AG;100%;2643864;1261961;de;01.07.2008
Oeschgen;5072;00;3020;Oeschgen;4175;AG;100%;2643572;1263359;de;01.07.2008
Gipf-Oberfrick;5073;00;3021;Gipf-Oberfrick;4165;AG;100%;2642508;1260931;de;01.07.2008
Eiken;5074;00;3025;Eiken;4161;AG;100%;2641346;1265016;de;01.07.2008
Hornussen;5075;00;3017;Böztal;4185;AG;100%;2646965;1261239;de;01.07.2008
Bözen;5076;00;3014;Böztal;4185;AG;100%;2648643;1260757;de;01.07.2008
Elfingen;5077;00;3015;Böztal;4185;AG;100%;2649758;1262010;de;01.07.2008
Effingen;5078;00;3012;Böztal;4185;AG;99.80%;2650123;1260005;de;01.07.2008
Effingen;5078;00;3012;Mönthal;4106;AG;0.20%;2651373;1262825;de;01.07.2008
Zeihen;5079;00;3016;Zeihen;4183;AG;100%;2648785;1258462;de;01.07.2008
Laufenburg;5080;00;2621;Laufenburg;4170;AG;99.67%;2646800;1267795;de;01.07.2008
Laufenburg;5080;00;2621;Kaisten;4169;AG;0.33%;2646282.845;1267035.192;de;01.07.2008
Kaisten;5082;00;2622;Kaisten;4169;AG;100%;2645743;1265707;de;01.07.2008
Ittenthal;5083;00;2623;Kaisten;4169;AG;100%;2646673;1263352;de;01.07.2008
Rheinsulz;5084;00;2624;Laufenburg;4170;AG;100%;2648987;1267370;de;01.07.2008
Sulz AG;5085;00;2625;Laufenburg;4170;AG;100%;2649531;1265128;de;01.07.2008
Rupperswil;5102;00;2973;Rupperswil;4206;AG;100%;2652053;1250282;de;01.07.2008
Wildegg;5103;00;2974;Möriken-Wildegg;4203;AG;91.69%;2654789;1251789;de;01.07.2008
Wildegg;5103;00;2974;Niederlenz;4204;AG;5.39%;2654979;1251508;de;01.07.2008
Wildegg;5103;00;2974;Rupperswil;4206;AG;2.92%;2653927;1251459;de;01.07.2008
Möriken AG;5103;02;2983;Möriken-Wildegg;4203;AG;100%;2656198;1251893;de;01.07.2008
Auenstein;5105;00;2976;Auenstein;4091;AG;100%;2652718;1252032;de;01.07.2008
Veltheim AG;5106;00;2977;Veltheim (AG);4120;AG;100%;2653542;1254173;de;01.07.2008
Schinznach Dorf;5107;00;2978;Schinznach;4125;AG;99.05%;2653061;1255375;de;01.07.2008
Schinznach Dorf;5107;00;2978;Brugg;4095;AG;0.95%;2654214;1257268;de;01.07.2008
Oberflachs;5108;00;2980;Schinznach;4125;AG;100%;2652089;1254781;de;01.07.2008
Thalheim AG;5112;00;2981;Thalheim (AG);4117;AG;100%;2650080;1254339;de;01.07.2008
Holderbank AG;5113;00;2982;Holderbank (AG);4199;AG;100%;2655106;1253300;de;01.07.2008
Schinznach Bad;5116;00;2984;Brugg;4095;AG;100%;2655100;1255729;de;01.07.2008
Brugg AG;5200;00;2987;Brugg;4095;AG;99.82%;2658002;1259644;de;01.07.2008
Brugg AG;5200;00;2987;Rüfenach;4112;AG;0.18%;2659754;1261887;de;01.07.2008
Windisch;5210;00;2989;Windisch;4123;AG;99.79%;2658719;1258775;de;01.07.2008
Windisch;5210;00;2989;Brugg;4095;AG;0.17%;2657972;1258864;de;01.07.2008
Windisch;5210;00;2989;Hausen (AG);4100;AG;0.04%;2658038;1258210;de;01.07.2008
Hausen AG;5212;00;2993;Hausen (AG);4100;AG;99.74%;2658344;1257042;de;01.07.2008
Hausen AG;5212;00;2993;Lupfig;4104;AG;0.26%;2658452;1256089;de;01.07.2008
Villnachern;5213;00;2994;Brugg;4095;AG;100%;2654473;1258074;de;01.07.2008
Umiken;5222;00;2995;Brugg;4095;AG;99.30%;2656653;1259389;de;01.07.2008
Umiken;5222;00;2995;Brugg;4095;AG;0.71%;2656566;1258986;de;01.07.2008
Riniken;5223;00;2996;Riniken;4111;AG;100%;2656417;1260292;de;01.07.2008
Bözberg;5225;01;9303;Bözberg;4124;AG;99.54%;2654229;1260055;de;01.07.2008
Bözberg;5225;01;9303;Brugg;4095;AG;0.47%;2654959;1258897;de;01.07.2008
Stilli;5233;00;3001;Villigen;4121;AG;100%;2659707;1263340;de;01.07.2008
Villigen;5234;00;3002;Villigen;4121;AG;100%;2658598;1264071;de;01.07.2008
Rüfenach AG;5235;00;3003;Rüfenach;4112;AG;100%;2658386;1262212;de;01.07.2008
Remigen;5236;00;3004;Remigen;4110;AG;99.24%;2656597;1263050;de;01.07.2008
Remigen;5236;00;3004;Bözberg;4124;AG;0.76%;2655668;1261533;de;01.07.2008
